colGPA,hsGPA,ACT
3,3,21
3.4,3.2,24
3,3.6,26
3.5,3.5,27
3.6,3.9,28
3,3.4,25
2.7,3.5,25
2.7,3,22
2.7,3,21
3.8,4,27
2.8,3,19
2.9,3.1,22
3,3.5,23
2.9,3.8,29
3.3,3.7,25
2.6,3,21
2.5,3.5,29
2.5,3,23
2.4,3,21
3.6,3.5,29
2.6,3.5,25
2.7,3,23
2.9,3.6,27
3,4,25
3.3,3.6,33
3.1,3.3,24
3,3.6,27
3.2,3.1,20
3,3.4,21
3.4,3.7,24
2.9,3.7,20
3.5,3.3,23
3.7,3.3,22
3.5,3.5,24
2.8,3.2,28
2.5,3.3,25
3.1,3.4,23
3.5,3.5,24
3.4,3.4,26
3.5,3.7,23
2.6,2.5,26
2.8,3.7,23
2.6,3,23
3.5,3,19
4,4,26
3.8,3.8,26
2.8,3,21
3.5,3.7,24
3,3.4,24
2.6,2.4,24
3,3.8,21
3.7,4,25
3,3.5,21
2.9,3.4,27
2.6,3.6,19
3,3.2,27
3.3,3.8,28
2.7,3.3,24
3,3.4,27
3.2,3,24
2.7,3.6,27
3.6,3.9,26
2.4,3,19
2.9,3,24
3.3,3.3,26
3.5,3.3,28
3,3.2,22
3,3.4,27
2.8,3.7,26
2.9,3.4,26
3.8,3.9,30
2.5,3.6,24
3,4,26
3.2,3.6,21
2.2,3,24
3.4,2.8,24
2.9,3.2,23
3.7,2.9,26
2.9,2.9,24
2.8,3.6,24
3.2,3.4,27
3.4,3.6,23
3,3.2,31
2.5,3.2,24
3.5,3.2,16
3.1,3.7,27
2.8,2.9,22
2.9,3.3,23
2.9,3.1,24
3.4,3.5,24
3.4,3.5,23
3.6,3.7,23
3.2,3,23
3.2,3.8,25
2.8,3.3,21
3.1,3.6,22
2.8,3.2,24
3.4,3.6,27
2.7,3.5,29
3,3.7,24
2.5,2.7,25
2.5,3.1,23
2.7,3.4,22
3.6,3.3,24
2.9,3.4,23
2.8,3.5,26
3.9,3.9,26
2.8,3.5,22
3.9,4,26
3.2,2.9,28
3.3,3.3,24
3.3,3.5,24
3.2,3.5,23
3.1,3.1,16
3,3.1,21
3.4,3.7,30
3.1,3.3,23
3.2,3.7,23
3.3,3,23
3,3.8,22
2.8,3.5,22
2.8,3.6,25
2.7,3.5,27
2.6,3,19
2.9,3.8,23
3,3.5,26
3,3.6,22
2.9,3.8,24
3.3,3.6,26
2.7,3.3,23
3,3.2,21
2.9,3.3,22
3.8,3.6,26
2.9,3.8,30
3,3.3,22
3.2,3.2,19
3,3.3,23
2.3,3.6,25
2.8,3.4,21
3.4,3.7,26
2.8,3.3,28
